Social Network,Countries,Location,Activity,Morning,output,flag,username,timestamp
twitter,[],,"[""swam"", ""slept""]",false,,,,2024-04-21 23:43:13.690907
instagram,,"Social Network: instagram, Username: ",,,2024-04-23 02:33:19.924788
,,"Social Network: None, Username: ",,,2024-04-23 02:33:23.723689
